rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1511986221211332686,,755,,0,0,'',,0,0,41.3935997,-73.9555211,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986221693099838,,756,,0,0,'',,0,0,41.3935999,-73.9555213,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986222193828720,,757,,0,0,'',,0,0,41.3935999,-73.9555211,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986222627886795,,758,,0,0,'',,0,0,41.3935998,-73.9555212,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986223128724367,,759,,0,0,'',,0,0,41.3935999,-73.9555213,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986223704829455,,760,,0,0,'',,0,0,41.3935999,-73.9555212,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986224212609440,,761,,0,0,'',,0,0,41.3935998,-73.9555214,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986224626475697,,762,,0,0,'',,0,0,41.3935998,-73.9555216,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986225209244265,,763,,0,0,'',,0,0,41.3935998,-73.9555218,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986225711849871,,764,,0,0,'',,0,0,41.3935997,-73.955522,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986226211263084,,765,,0,0,'',,0,0,41.3935995,-73.955522,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986226709175123,,766,,0,0,'',,0,0,41.3935996,-73.9555221,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986227128753350,,767,,0,0,'',,0,0,41.3935996,-73.9555224,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986227627972376,,768,,0,0,'',,0,0,41.3935994,-73.9555226,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986228173798244,,769,,0,0,'',,0,0,41.3935991,-73.9555226,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986228711353367,,770,,0,0,'',,0,0,41.393599,-73.9555229,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986228978443872,,771,,0,0,'',,0,0,41.393599,-73.9555231,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986229192830285,,772,,0,0,'',,0,0,41.3935991,-73.9555233,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986229708072831,,773,,0,0,'',,0,0,41.393599,-73.9555236,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986229984577329,,774,,0,0,'',,0,0,41.3935991,-73.9555238,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986230188313623,,775,,0,0,'',,0,0,41.3935994,-73.955524,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986230432786364,,776,,0,0,'',,0,0,41.3935994,-73.9555243,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986231193152268,,777,,0,0,'',,0,0,41.3935993,-73.9555248,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986231677617260,,778,,0,0,'',,0,0,41.3935994,-73.9555258,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986232189981127,,779,,0,0,'',,0,0,41.3936005,-73.9555267,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986232707722823,,780,,0,0,'',,0,0,41.3936023,-73.9555271,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986233000545119,,781,,0,0,'',,0,0,41.3936036,-73.9555277,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986233212301335,,782,,0,0,'',,0,0,41.3936058,-73.9555284,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986233635594188,,783,,0,0,'',,0,0,41.3936085,-73.9555293,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986234193787370,,784,,0,0,'',,0,0,41.3936133,-73.955531,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986234636856980,,785,,0,0,'',,0,0,41.3936212,-73.9555337,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986234953739168,,786,,0,0,'',,0,0,41.3936251,-73.9555352,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986235195699897,,787,,0,0,'',,0,0,41.393629,-73.9555367,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986235710838210,,788,,0,0,'',,0,0,41.3936364,-73.9555397,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986236010448551,,789,,0,0,'',,0,0,41.3936387,-73.9555405,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986236207048835,,790,,0,0,'',,0,0,41.3936398,-73.9555411,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986236700879314,,791,,0,0,'',,0,0,41.3936393,-73.9555422,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986237199031707,,792,,0,0,'',,0,0,41.3936405,-73.9555433,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986237634026679,,793,,0,0,'',,0,0,41.3936428,-73.9555457,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986238199395661,,794,,0,0,'',,0,0,41.3936443,-73.9555437,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986238706727836,,795,,0,0,'',,0,0,41.3936401,-73.9555413,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986239208086414,,796,,0,0,'',,0,0,41.3936355,-73.9555468,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986239510153090,,797,,0,0,'',,0,0,41.3936347,-73.9555493,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986239678664646,,798,,0,0,'',,0,0,41.3936357,-73.9555529,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986240006850183,,799,,0,0,'',,0,0,41.3936379,-73.9555552,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986240137659495,,800,,0,0,'',,0,0,41.3936391,-73.9555563,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986240706841078,,801,,0,0,'',,0,0,41.3936418,-73.9555538,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986241010106970,,802,,0,0,'',,0,0,41.3936413,-73.9555528,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986241187148014,,803,,0,0,'',,0,0,41.3936404,-73.9555524,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986241492553886,,804,,0,0,'',,0,0,41.3936384,-73.955552,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986241638019103,,805,,0,0,'',,0,0,41.3936379,-73.9555505,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1511986242211069053,,806,,0,0,'',,0,0,41.3936414,-73.955548,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
